Skill,Frequency
RESTful Services,1
Java/J2EE,1
Test Driven Development,1
Nginx,1
CoreJS,1
Working knowledge,1
OpenStack Work,1
e.g. Solr,1
Mem Cache,1
Relevant experience,1
Advanced knowledge,1
Focus,1
GCP Strong Expertise,1
Object Oriented,1
Functional Programming,1
Design Patterns Experience,1
Identify bottlenecks,1
Perform POC,1
frameworks Work,1
Java open-source technologies,1
Overview,1
vue.js,1
Benefits.. Benefits,1
Expert level knowledge,1
SpringBoot,1
MQTT,1
Architectures,1
MVVM,1
High availability,1
RESTful Microservices,1
Se Moberly Ln,1
"Flexible, hybrid work",1
Nice,1
Enthusiasm,1
production Participate,1
production Create,1
Devops culture,1
CICD process,1
the Cloud architecture,1
Responsibilities Research,1
Documentation,1
Collaboration,1
Delivers,1
a Java developer,1
Walmart's coding standards,1
Strong proficiency,1
"(e.g., Azure",1
DevOps tools,1
Walmart's technology stack,1
the Walmart+ team,1
Excellence,1
Walmart’s goal,1
A curiosity,1
the Walmart values,1
Maintains,1
the Individual,1
Computer Vision,1
Android AI,1
Preferred Qualifications Experience,1
Problem Solving,1
Self-Motivation,1
Solr,1
Casandra,1
PHP,1
(CI/CD,1
SLAs,1
Service Level Agreements,1
Airflow,1
Leverage open-source technologies,1
scalable WFS Application,1
Walmart Fulfillment Services,1
JPA,1
Stream API,1
Lambda Expression,1
Functional Interfaces,1
Java 8 features,1
tool Kafka,1
C++,1
The platform,1
XMatters,1
Lenses,1
This product,1
Walmart’s services,1
Analyzes business problems,1
MVC architecture,1
Experience containerizing applications,1
Azure Cloud Experience,1
an Agile environment,1
Apache Pulsar,1
Apache Kafka,1
Spring Boot framework,1
Document,1
flask,1
django,1
debug Java Applications,1
a DEVOPS Environment,1
React testing library,1
UX/UI designers,1
React-Query tools,1
Axios,1
Troubleshoot front-end issues,1
Cypress,1
Optimize front-end code,1
context API,1
MobX,1
Python Experience,1
GitOps,1
Continuous Integration/Continuous Delivery,1
Design application architecture,1
intensive CRUD operations,1
NextJS,1
Bachelor’s degree,1
Mentor junior engineers,1
Fix prioritized issues,1
Craft code,1
Microservices,1
Linux,1
Agile/Scrum,1
XML,1
JSON,1
Junit,1
Experience designing applications,1
Partner-Ops,1
Program Management,1
QA,1
Message brokers,1
Design applications,1
Design unit tests,1
No-SQL,1
Restful API,1
Tachyons,1
Git version control,1
Spring MVC,1
the Java SDK,1
Cosmos DB containers,1
Selenium Cucumber,1
PowerMockito,1
Implement application,1
Log4j,1
Lombok,1
Project Reactor,1
a Kafka cluster,1
Jira,1
Reactor Non-blocking programming,1
Spring Kafka,1
node.js,1
Support Business requests,1
Chrome Dev tools,1
Web accessibility,1
Web vitals,1
backend APIs,1
this job Distribution,1
